id,CodigoEntidad,Contraparte,OwnerAccount,Entrega,Periodo,Volumen,Precio,SpecsContrapartePCS,ProximosPasosNTGY,ProximosPasosContraparte,Timing,Origen,Comentarios,CodigoOportunidad
1,ENT0001,Qatar Energy LNG,Laura Sánchez,FCA,H1 2025,"460,000",15.74,1050 BTU/scf,Confirmar especificaciones,Confirmar ventana de entrega,Inmediato,Llamada comercial,Cargo spot venta,OPO-00001
2,ENT0002,Shell LNG Ltd,Carlos López,DES,Q4 2026,"321,000",13.43,1050 BTU/scf,Revisión legal contrato,Confirmar ventana de entrega,+12 meses,LinkedIn,Cargo spot venta,OPO-00002
3,ENT0003,TotalEnergies LNG,Laura Sánchez,FCA,Q3 2025,"183,000",18.33,950 BTU/scf,Enviar term sheet,Revisión board,3-6 meses,RFQ entrada,Cargo term venta,OPO-00003
4,ENT0004,BP Gas & Power,José Martínez,DES,Q2 2025,"114,000",18.47,950 BTU/scf,Aprobación comité,Revisión board,3-6 meses,Conferencia GasTech,Cargo spot compra,OPO-00004
5,ENT0005,Chevron LNG Corp,Laura Sánchez,FOB,Q3 2025,"156,000",16.39,1010 BTU/scf,Confirmar especificaciones,Revisión board,Inmediato,RFQ entrada,Cargo term venta,OPO-00005
6,ENT0006,ExxonMobil Gas,José Martínez,CIF,Q1 2026,"246,000",15.39,1010 BTU/scf,Enviar propuesta final,Due diligence,3-6 meses,Conferencia GasTech,Cargo term venta,OPO-00006
7,ENT0007,Woodside Energy,María Fernández,FCA,Q1 2025,"214,000",12.18,1050 BTU/scf,Enviar term sheet,Validar volúmenes internos,1-3 meses,Referido cliente,Cargo spot venta,OPO-00007
8,ENT0008,Santos LNG,Carlos López,EXW,Q4 2026,"381,000",12.93,1100 BTU/scf,Aprobación comité,Confirmar ventana de entrega,1-3 meses,Licitación pública,Cargo spot compra,OPO-00008
9,ENT0009,Equinor LNG,Laura Sánchez,DAP,Q4 2025,"278,000",8.61,1050 BTU/scf,Aprobación comité,Validar volúmenes internos,3-6 meses,Licitación pública,Cargo spot compra,OPO-00009
10,ENT0010,Eni Gas Solutions,María Fernández,FOB,H1 2025,"287,000",16.68,950 BTU/scf,Enviar propuesta final,Aceptar propuesta,1-3 meses,Llamada comercial,Cargo term venta,OPO-00010
11,ENT0011,Repsol Gas Trading,Carlos López,CIF,Q2 2025,"238,000",15.03,1000 BTU/scf,Enviar propuesta final,Confirmar ventana de entrega,+12 meses,Referido cliente,Cargo term venta,OPO-00011
12,ENT0012,Naturgy LNG,José Martínez,EXW,Q3 2025,"250,000",10.94,950 BTU/scf,Enviar propuesta final,Due diligence,3-6 meses,RFQ entrada,Cargo spot compra,OPO-00012
13,ENT0013,Enagás Trading,Laura Sánchez,DES,Q3 2026,"283,000",13.12,1010 BTU/scf,Enviar term sheet,Aceptar propuesta,+12 meses,Conferencia GasTech,Cargo spot compra,OPO-00013
14,ENT0014,Galp LNG,María Fernández,DES,Q2 2025,"89,000",15.24,950 BTU/scf,Enviar propuesta final,Confirmar ventana de entrega,3-6 meses,Licitación pública,Cargo term compra,OPO-00014
15,ENT0015,RasGas Company,María Fernández,FCA,Q2 2025,"136,000",12.62,1100 BTU/scf,Revisión legal contrato,Due diligence,3-6 meses,RFQ entrada,Cargo term venta,OPO-00015
16,ENT0016,ADNOC LNG,Carlos López,DAP,Q4 2026,"360,000",9.74,1010 BTU/scf,Confirmar especificaciones,Confirmar ventana de entrega,1-3 meses,Llamada comercial,Cargo spot venta,OPO-00016
17,ENT0017,Pertamina Gas,María Fernández,CIF,Q2 2025,"94,000",13.13,1000 BTU/scf,Aprobación comité,Revisión board,6-12 meses,Referido cliente,Cargo term venta,OPO-00017
18,ENT0018,PETRONAS LNG,Carlos López,DES,Q2 2025,"337,000",13.35,1000 BTU/scf,Enviar propuesta final,Aceptar propuesta,6-12 meses,Conferencia GasTech,Cargo spot compra,OPO-00018
